NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 107; Catawba County; North Carolina,2259.0,386.0,0.0,64.0,42.0,209.0,71.0,0.0,0.0,37,35,107,Catawba County
Census Tract 109; Catawba County; North Carolina,3192.0,1361.0,86.0,298.0,133.0,676.0,134.0,10.0,24.0,37,35,109,Catawba County
Census Tract 110; Catawba County; North Carolina,2492.0,586.0,49.0,42.0,60.0,299.0,110.0,21.0,5.0,37,35,110,Catawba County
Census Tract 111.01; Catawba County; North Carolina,3251.0,490.0,80.0,30.0,49.0,136.0,169.0,9.0,17.0,37,35,111.01,Catawba County
Census Tract 111.02; Catawba County; North Carolina,7764.0,1100.0,111.0,84.0,251.0,512.0,44.0,98.0,0.0,37,35,111.02,Catawba County
Census Tract 112; Catawba County; North Carolina,5310.0,235.0,0.0,0.0,0.0,175.0,37.0,0.0,23.0,37,35,112,Catawba County
Census Tract 113; Catawba County; North Carolina,7142.0,1304.0,342.0,108.0,0.0,811.0,39.0,0.0,4.0,37,35,113,Catawba County
Census Tract 114.01; Catawba County; North Carolina,3656.0,889.0,15.0,59.0,58.0,469.0,197.0,91.0,0.0,37,35,114.01,Catawba County
Census Tract 114.02; Catawba County; North Carolina,3776.0,817.0,131.0,167.0,48.0,414.0,36.0,11.0,10.0,37,35,114.02,Catawba County
Census Tract 115.01; Catawba County; North Carolina,5698.0,623.0,51.0,20.0,4.0,441.0,95.0,2.0,10.0,37,35,115.01,Catawba County
Census Tract 115.03; Catawba County; North Carolina,3989.0,197.0,0.0,44.0,0.0,84.0,40.0,29.0,0.0,37,35,115.03,Catawba County
Census Tract 115.05; Catawba County; North Carolina,3284.0,149.0,31.0,31.0,0.0,72.0,0.0,15.0,0.0,37,35,115.05,Catawba County
